ZIP,Year,Deaths,Median_Rent,Avg_Pop_Per_ZIP,Rate_per_100k,Rent_Demeaned,Rate_Demeaned
90001,2012,4,950.0,106131.92432432433,3.7688942563375742,-140.81818181818176,-7.835769303416136
90001,2013,9,962.0,97772.78712871287,9.20501528523674,-128.81818181818176,-2.39964827451697
90001,2014,1,975.0,96344.30917874396,1.0379440244308957,-115.81818181818176,-10.566719535322814
90001,2015,1,984.0,90732.48868778281,1.1021410461263481,-106.81818181818176,-10.502522513627362
90001,2016,1,1009.0,86464.79220779221,1.1565401066329979,-81.81818181818176,-10.448123453120713
90001,2017,6,1051.0,89797.80717488789,6.681677636419958,-39.818181818181756,-4.922985923333752
90001,2018,5,1087.0,84313.16949152542,5.9302716647398315,-3.818181818181756,-5.674391895013879
90001,2019,7,1150.0,81958.75933609958,8.540880873140276,59.181818181818244,-3.0637826866134343
90001,2020,15,1192.0,76419.04580152672,19.62861462436675,101.18181818181824,8.02395106461304
90001,2021,23,1262.0,72847.86742424243,31.57264696035017,171.18181818181824,19.96798340059646
90001,2022,28,1377.0,71745.8037735849,39.02667267950928,286.18181818181824,27.42200911975557
90002,2012,1,940.0,106131.92432432433,0.9422235640843936,-174.63636363636374,-4.888753545014931
90002,2013,3,952.0,97772.78712871287,3.0683384284122472,-162.63636363636374,-2.7626386806870777
90002,2014,3,968.0,96344.30917874396,3.113832073292688,-146.63636363636374,-2.717145035806637
90002,2015,1,991.0,90732.48868778281,1.1021410461263481,-123.63636363636374,-4.728836062972977
90002,2016,2,1035.0,86464.79220779221,2.3130802132659958,-79.63636363636374,-3.517896895833329
90002,2017,4,1074.0,89797.80717488789,4.454451757613305,-40.63636363636374,-1.3765253514860198
90002,2018,3,1147.0,84313.16949152542,3.558162998843899,32.36363636363626,-2.272814110255426
90002,2019,4,1187.0,81958.75933609958,4.880503356080158,72.36363636363626,-0.9504737530191667
90002,2020,11,1246.0,76419.04580152672,14.394317391202284,131.36363636363626,8.56334028210296
90002,2021,8,1287.0,72847.86742424243,10.98179024707832,172.36363636363626,5.150813137978996
90002,2022,11,1434.0,71745.8037735849,15.331907124092933,319.36363636363626,9.500930014993607
90003,2012,3,999.0,106131.92432432433,2.8266706922531806,-160.18181818181824,-14.077824909322054
90003,2013,1,1039.0,97772.78712871287,1.0227794761374156,-120.18181818181824,-15.88171612543782
90003,2014,5,1064.0,96344.30917874396,5.189720122154479,-95.18181818181824,-11.714775479420755
90003,2015,7,1075.0,90732.48868778281,7.714987322884438,-84.18181818181824,-9.189508278690797
