Substance,Season,Count,Percentage
Heroin,Winter,569,13.266495686640242
Heroin,Spring,566,12.776523702031604
Heroin,Summer,586,11.533162763235584
Heroin,Fall,486,10.351437699680512
Fentanyl,Winter,1562,36.418745628351594
Fentanyl,Spring,1769,39.932279909706544
Fentanyl,Summer,1965,38.67348947057666
Fentanyl,Fall,1830,38.977635782747605
Prescription.opioids,Winter,522,12.17066915364887
Prescription.opioids,Spring,540,12.18961625282167
Prescription.opioids,Summer,534,10.509742176736863
Prescription.opioids,Fall,485,10.33013844515442
Methamphetamine,Winter,1763,41.10515271625088
Methamphetamine,Spring,1959,44.22121896162528
Methamphetamine,Summer,2385,46.93957882306633
Methamphetamine,Fall,2081,44.32374866879659
Cocaine,Winter,608,14.175798554441595
Cocaine,Spring,620,13.99548532731377
Cocaine,Summer,729,14.347569376107067
Cocaine,Fall,662,14.10010649627263
Benzodiazepines,Winter,232,5.4091862905106085
Benzodiazepines,Spring,235,5.304740406320542
Benzodiazepines,Summer,235,4.625073804369219
Benzodiazepines,Fall,233,4.9627263045793395
Alcohol,Winter,1165,27.162508743296804
Alcohol,Spring,1092,24.650112866817157
Alcohol,Summer,1234,24.28655776421964
Alcohol,Fall,1247,26.56017039403621
Others,Winter,194,4.523198880858009
Others,Spring,242,5.4627539503386
Others,Summer,253,4.979334776618776
Others,Fall,229,4.8775292864749735
