Year,Gender,Deaths,Total,Percentage
2012,FEMALE,117,528,22.15909090909091
2012,MALE,411,528,77.8409090909091
2013,FEMALE,140,625,22.400000000000002
2013,MALE,485,625,77.60000000000001
2014,FEMALE,151,636,23.742138364779876
2014,MALE,485,636,76.25786163522012
2015,FEMALE,205,821,24.96954933008526
2015,MALE,616,821,75.03045066991474
2016,FEMALE,218,871,25.02870264064294
2016,MALE,653,871,74.97129735935705
2017,FEMALE,243,974,24.948665297741275
2017,MALE,731,974,75.05133470225873
2018,FEMALE,293,1186,24.70489038785835
2018,MALE,892,1186,75.21079258010118
2019,FEMALE,289,1398,20.67238912732475
2019,MALE,1108,1398,79.25608011444922
2020,FEMALE,531,2395,22.171189979123174
2020,MALE,1864,2395,77.82881002087683
2021,FEMALE,625,2915,21.440823327615778
2021,MALE,2278,2915,78.14751286449399
2022,FEMALE,644,3185,20.21978021978022
2022,MALE,2539,3185,79.71742543171115
2023,FEMALE,621,2961,20.972644376899694
2023,MALE,2336,2961,78.89226612630867
