Year,Deaths,Population,Rate_per_100k,Unemployment_Rate,LFPR,Non_Participation_Rate,Non_Employment_Rate,Period
2012,528,19634406,2.689156982900323,8.075,63.7,36.3,41.443774999999995,Pre-COVID (2012-2019)
2013,625,19750103,3.1645404583459644,7.358333333333333,63.25833333333333,36.74166666666667,41.396425694444446,Pre-COVID (2012-2019)
2014,636,19943272,3.1890454083963755,6.158333333333334,62.88333333333333,37.11666666666667,40.98923194444444,Pre-COVID (2012-2019)
2015,821,20051880,4.094379180406027,5.2749999999999995,62.65833333333333,37.34166666666667,40.64689375,Pre-COVID (2012-2019)
2016,871,19973367,4.360807068733078,4.875,62.8,37.2,40.2615,Pre-COVID (2012-2019)
2017,974,20024911,4.8639417173939,4.358333333333333,62.85,37.15,39.8892125,Pre-COVID (2012-2019)
2018,1186,19897908,5.960425588458847,3.891666666666666,62.88333333333333,37.11666666666667,39.56387638888889,Pre-COVID (2012-2019)
2019,1398,19752061,7.077742418879731,3.6750000000000003,63.1,36.9,39.218925000000006,Pre-COVID (2012-2019)
2020,2395,20021790,11.961967436477957,8.1,61.74166666666667,38.25833333333333,43.25940833333333,COVID Era (2020-2023)
2021,2915,19231837,15.157158413936223,5.358333333333333,61.675,38.325,41.62975208333334,COVID Era (2020-2023)
2022,3185,19012638,16.75201515960068,3.641666666666667,62.225,37.775,40.04102708333333,COVID Era (2020-2023)
2023,2961,18893395,15.672143624795861,3.6333333333333333,62.61666666666667,37.38333333333333,39.658405555555554,COVID Era (2020-2023)
