Year,Race,Age_Standardized_Rate,Crude_Rate,Total_Deaths,Difference
2012,WHITE,10.01,9.58,259,0.43
2012,BLACK,7.71,8.38,67,-0.67
2012,LATINE,3.2,3.56,171,-0.36
2012,ASIAN,1.29,1.17,16,0.12
2013,WHITE,12.34,12.24,331,0.1
2013,BLACK,8.17,9.61,77,-1.44
2013,LATINE,3.98,3.87,187,0.11
2013,ASIAN,1.51,1.08,15,0.43
2014,WHITE,11.8,12.47,336,-0.67
2014,BLACK,7.07,8.72,70,-1.65
2014,LATINE,3.78,3.96,194,-0.18
2014,ASIAN,1.9,1.47,21,0.43
2015,WHITE,15.77,15.67,421,0.1
2015,BLACK,14.28,14.4,117,-0.12
2015,LATINE,4.41,4.93,243,-0.52
2015,ASIAN,1.74,1.58,23,0.16
2016,WHITE,17.17,16.61,443,0.56
2016,BLACK,14.14,14.25,113,-0.11
2016,LATINE,6.03,5.55,273,0.48
2016,ASIAN,1.96,1.51,22,0.45
2017,WHITE,17.85,17.81,471,0.04
2017,BLACK,14.31,16.75,133,-2.44
2017,LATINE,6.33,6.26,309,0.07
2017,ASIAN,2.84,2.16,32,0.68
2018,WHITE,20.57,21.76,570,-1.19
2018,BLACK,18.66,22.45,176,-3.79
2018,LATINE,6.79,7.53,370,-0.74
2018,ASIAN,3.11,2.99,44,0.12
2019,WHITE,25.15,24.45,635,0.7
2019,BLACK,26.31,27.92,217,-1.61
2019,LATINE,11.57,9.91,484,1.66
2019,ASIAN,2.95,2.2,32,0.75
2020,WHITE,38.83,36.39,933,2.44
2020,BLACK,56.51,57.18,435,-0.67
2020,LATINE,20.68,16.78,874,3.9
2020,ASIAN,5.32,5.36,79,-0.04
2021,WHITE,45.57,47.3,1145,-1.73
2021,BLACK,68.22,74.19,536,-5.97
2021,LATINE,25.05,22.38,1080,2.67
2021,ASIAN,4.88,5.02,72,-0.14
2022,WHITE,44.23,47.68,1135,-3.45
2022,BLACK,78.92,88.46,630,-9.54
2022,LATINE,26.44,25.34,1208,1.1
2022,ASIAN,5.84,6.63,95,-0.79
2023,WHITE,37.5,42.2,1000,-4.7
2023,BLACK,80.42,84.13,597,-3.71
2023,LATINE,23.55,24.19,1136,-0.64
2023,ASIAN,5.85,5.91,86,-0.06
