ZIP,Substance,Count,Percentage
90013,Heroin,61,14.841849148418493
90013,Fentanyl,217,52.798053527980535
90013,Prescription.opioids,36,8.75912408759124
90013,Methamphetamine,232,56.447688564476884
90013,Cocaine,166,40.38929440389295
90013,Benzodiazepines,4,0.9732360097323601
90013,Alcohol,55,13.381995133819952
90013,Others,9,2.18978102189781
90057,Heroin,26,7.83132530120482
90057,Fentanyl,219,65.96385542168674
90057,Prescription.opioids,18,5.421686746987952
90057,Methamphetamine,213,64.1566265060241
90057,Cocaine,26,7.83132530120482
90057,Benzodiazepines,19,5.72289156626506
90057,Alcohol,88,26.506024096385545
90057,Others,7,2.108433734939759
90033,Heroin,25,7.78816199376947
90033,Fentanyl,72,22.429906542056074
90033,Prescription.opioids,24,7.476635514018691
90033,Methamphetamine,149,46.41744548286604
90033,Cocaine,59,18.38006230529595
90033,Benzodiazepines,5,1.557632398753894
90033,Alcohol,83,25.85669781931464
90033,Others,15,4.672897196261682
90017,Heroin,15,4.918032786885246
90017,Fentanyl,154,50.49180327868853
90017,Prescription.opioids,18,5.901639344262295
90017,Methamphetamine,161,52.78688524590164
90017,Cocaine,54,17.704918032786885
90017,Benzodiazepines,9,2.9508196721311477
90017,Alcohol,75,24.59016393442623
90017,Others,7,2.2950819672131146
90014,Heroin,39,12.871287128712872
90014,Fentanyl,187,61.71617161716172
90014,Prescription.opioids,26,8.58085808580858
90014,Methamphetamine,159,52.475247524752476
90014,Cocaine,105,34.65346534653465
90014,Benzodiazepines,4,1.3201320132013201
90014,Alcohol,45,14.85148514851485
90014,Others,4,1.3201320132013201
93534,Heroin,17,6.204379562043796
93534,Fentanyl,80,29.1970802919708
93534,Prescription.opioids,33,12.043795620437956
93534,Methamphetamine,151,55.1094890510949
93534,Cocaine,27,9.854014598540147
93534,Benzodiazepines,6,2.18978102189781
93534,Alcohol,58,21.16788321167883
93534,Others,14,5.109489051094891
90813,Heroin,21,8.641975308641975
90813,Fentanyl,84,34.5679012345679
90813,Prescription.opioids,18,7.4074074074074066
90813,Methamphetamine,130,53.49794238683128
90813,Cocaine,29,11.934156378600823
90813,Benzodiazepines,8,3.292181069958848
90813,Alcohol,64,26.337448559670783
90813,Others,12,4.938271604938271
90028,Heroin,32,13.223140495867769
90028,Fentanyl,128,52.892561983471076
90028,Prescription.opioids,23,9.50413223140496
90028,Methamphetamine,127,52.47933884297521
90028,Cocaine,29,11.983471074380166
90028,Benzodiazepines,14,5.785123966942149
90028,Alcohol,57,23.553719008264462
90028,Others,16,6.6115702479338845
90015,Heroin,17,8.095238095238095
90015,Fentanyl,88,41.904761904761905
90015,Prescription.opioids,14,6.666666666666667
90015,Methamphetamine,100,47.61904761904761
90015,Cocaine,49,23.333333333333332
90015,Benzodiazepines,5,2.380952380952381
90015,Alcohol,51,24.285714285714285
90015,Others,12,5.714285714285714
90012,Heroin,28,13.461538461538462
90012,Fentanyl,128,61.53846153846154
90012,Prescription.opioids,8,3.8461538461538463
90012,Methamphetamine,123,59.13461538461539
90012,Cocaine,18,8.653846153846153
90012,Benzodiazepines,6,2.8846153846153846
90012,Alcohol,31,14.903846153846153
90012,Others,4,1.9230769230769231
